Latitude,Longitude,Temperatura,Umidade,Data,Hora
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:13:32
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:13:37
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:13:42
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:13:47
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:13:52
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:13:57
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:14:02
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:14:07
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:14:12
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:14:17
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:14:22
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:14:27
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:14:32
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:14:37
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:14:42
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:14:47
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:14:52
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:14:57
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:15:02
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:15:07
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:15:12
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:15:18
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:15:23
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:15:28
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:15:33
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:15:38
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:15:43
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:15:48
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:15:53
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:15:58
